200.000 NAGLBÍTAR
A NEW WORLD IF YOU CAN TAKE IT - ANWIYCTI
AFK
AIRWORDS: ANDRI SNÆR
AIRWORDS: ÁSTA FANNEY
AIRWORDS: AYIA
AIRWORDS: BERGUR
AIRWORDS: GOOD MOON DEER
AIRWORDS: KÖTT GRÁ PJE
AIRWORDS: KRISTÍN
AIRWORDS: RUGL
ALDOUS HARDING
ALEXANDER JARL
ALVIA ISLANDIA
AMA LOU
AMIINA
ÁN
ANDARTAK
ARAB STRAP
ÁRNI²
ARON CAN
ÁRSTÍÐIR
ÁSGEIR
AUÐUR
AXEL FLÓVENT
AYIA
BÁRA GÍSLADÓTTIR
BE CHARLOTTE
BENJAMIN CLEMENTINE
BENNY CRESPO'S GANG
BETWEEN MOUNTAINS
BIGGI HILMARS
BILLY BRAGG
BIRNIR
BISTRO BOY
BLISSFUL
BONZAI
CEASETONE
CELL7
CHASE
CHEVRON
CHILDHOOD
COLD
CRYPTOCHROME
CYBER
DANIEL OG
DAÐI FREYR
DEEP THROAT CHOIR
DILLALUDE
DÍSA
DJ SNORRI ÁSTRÁÐS
DJ SPEGILL
DJ SURA
DJ. FLUGVÉL OG GEIMSKIP (AIRPLANE & SPACESHIP)
DR. GUNNI
EINARINDRA
ELLI GRILL
EMILIANA TORRINI AND THE COLORIST
EMMSJÉ GAUTI
EXOS
FAI BABA
FAZERDAZE
FEVER DREAM
FLAMINGODS
FLEET FOXES
FLÓNI
FM BELFAST
FOR A MINOR REFLECTION
FOX TRAIN SAFARI
FRANK MURDER
FRÆBBBLARNIR
FUFANU
FUTUREGRAPHER
GANGLY
GDJYB
GDRN
GEISHA CARTEL
GENTS
GKR
GLERAKUR
GLOWIE
GODCHILLA
GOOD MOON DEER
GORDI
GRÍSALAPPALÍSA
GRÓA
GRÚSKA BABÚSKA
GUNNAR JÓNSSON COLLIDER
GURR
GUSGUS
GYÐA VALTÝSDÓTTIR
HALLDÓR ELDJÁRN
HAM
HARE SQUEAD
HATARI
HERRA HNETUSMJÖR
HEY ELBOW
HILDUR
HÖGNI
HOLY HRAFN
HÓRMÓNAR
HUGAR
IDER
INDRIÐI
JAE TYLER
JANA
JFDR
JO GOES HUNTING
JOEY CHRIST
JÓIPÉ X KRÓLI
JÓN JÓNSSON
JÓNAS SEN
K Á R Y Y N
KÁ-AKÁ
KALLI
KELLY LEE OWENS
KIRIYAMA FAMILY
KONTINUUM
KORTER Í FLOG
KOSMODOD
KÆLAN MIKLA
LÁRA RÚNARS
LIDO PIMIENTA
LJÓSVAKI
LONELY PARADE
LORD PUSSWHIP
LOST HORIZONS
MAGNÚS JÓHANN
MAHALIA
MAMMÚT
MÁNI ORRASON
MAUS
MEGAS
MICHAEL KIWANUKA
MIGHTY BEAR
MIKAEL LIND
MIKKO JOENSUU
MILKYWHALE
MOSES HIGHTOWER
MR. SILLA
MUMFORD & SONS
MURA MASA
NILÜFER YANYA
NODLE
NONNIMAL
OCTAL INDUSTRIES
OHM
OMOTRACK
ONE WEEK WONDER
ÖSP
OYAMA
OZY
PALE HONEY
PAR-ÐAR
PASCAL PINON
PASHN
PAUNKHOLM
PHLEGM
PINEGROVE
PINK STREET BOYS
PRANKE
PÚLSVÍDD
RAGGA GRÖNDAL
RARI BOYS
REYKJAVÍKURDÆTUR
ROFOROFO
ROHT
RÓSA GUÐRÚN SVEINSDÓTTIR
RÖSKVA
RUGL
RUXPIN
RYTHMATIK
SHADES OF REYKJAVÍK
SHAME
SIGRID
SIGRÚN
SKAÐI ÞÓRÐARDÓTTIR
SKELKUR Í BRINGU
SKRATTAR
SNORRI HELGASON
SOFFÍA BJÖRG
SÓLEY
SÓLVEIG MATTHILDUR
SONGHOY BLUES
SPECIAL K
STURLA ATLAS
SUBMINIMAL
SYCAMORE TREE
SYKUR
SYLVIA
TAPPI TÍKARRASS
THOR
TILBURY
TINY
TÓFA
TONIK ENSEMBLE
TONTARIO
TORRES
TRPTYCH
TSS
TUSK
TUSKS
ÚLFUR ÚLFUR
UNA STEF
UNE MISÈRE
VAGABON
VALBY BRÆÐUR
VALDIMAR
VECTOR
VÉDÍS HERVÖR
VÖK
WARMLAND
WE MADE GOD
XYLOURIS WHITE
YAGYA
YOUNG KARIN
YOUNG NAZARETH
ГШ/GLINTSHAKE
